Title,Author,Year,Genre,Price
The Lost City,Sarah Johnson,2018,Adventure,14.99
Whispers in the Wind,Michael Chen,2020,Romance,12.50
Code Masters,Emily Taylor,2019,Sci-Fi,16.75
Midnight's Shadow,Robert Black,2021,Mystery,13.25
Green Fields Forever,Laura Martinez,2017,Fiction,11.99
The Quantum Paradox,David Lee,2022,Science,18.50
Echoes of History,Anna White,2016,Historical,15.75
Culinary Adventures,Carlos Rodriguez,2020,Cookbook,22.99
The Art of Mindfulness,Sofia Patel,2018,Self-Help,10.50
Riddles of the Universe,James Wilson,2019,Non-Fiction,17.25